activity	subject	tBodyAcc_mean_X	tBodyAcc_mean_Y	tBodyAcc_mean_Z	tBodyAcc_std_X	tBodyAcc_std_Y	tBodyAcc_std_Z	tGravityAcc_mean_X	tGravityAcc_mean_Y	tGravityAcc_mean_Z	tGravityAcc_std_X	tGravityAcc_std_Y	tGravityAcc_std_Z	tBodyAccJerk_mean_X	tBodyAccJerk_mean_Y	tBodyAccJerk_mean_Z	tBodyAccJerk_std_X	tBodyAccJerk_std_Y	tBodyAccJerk_std_Z	tBodyGyro_mean_X	tBodyGyro_mean_Y	tBodyGyro_mean_Z	tBodyGyro_std_X	tBodyGyro_std_Y	tBodyGyro_std_Z	tBodyGyroJerk_mean_X	tBodyGyroJerk_mean_Y	tBodyGyroJerk_mean_Z	tBodyGyroJerk_std_X	tBodyGyroJerk_std_Y	tBodyGyroJerk_std_Z	fBodyAcc_mean_X	fBodyAcc_mean_Y	fBodyAcc_mean_Z	fBodyAcc_std_X	fBodyAcc_std_Y	fBodyAcc_std_Z	fBodyAccJerk_mean_X	fBodyAccJerk_mean_Y	fBodyAccJerk_mean_Z	fBodyAccJerk_std_X	fBodyAccJerk_std_Y	fBodyAccJerk_std_Z	fBodyGyro_mean_X	fBodyGyro_mean_Y	fBodyGyro_mean_Z	fBodyGyro_std_X	fBodyGyro_std_Y	fBodyGyro_std_Z
LAYING	20	0.27580048891025644	-0.015439435299102564	-0.10343206241794872	-0.5465354229615385	-0.25901130009615386	-0.6397301686474359	0.5909749584679487	0.0024364829166666677	0.12110791115032052	-0.9580456405128205	-0.9511496212179488	-0.943657000576923	0.0750346921474359	-0.002744000974551282	-0.0025149548518397435	-0.5862159411769231	-0.4261203533974359	-0.7389134567307692	-0.02247268344096154	-0.07896271943102565	0.09002539766576922	-0.6523963918141026	-0.4858944846057051	-0.4608431864076923	-0.09455470521083334	-0.040201242982051286	-0.05257245706153846	-0.6531860694903846	-0.6435731375128205	-0.5369000636487179	-0.5706379217121795	-0.32495968037910256	-0.67195587225	-0.5385612234916667	-0.27394813737115387	-0.6508893122435897	-0.6245232790692308	-0.46699613387820516	-0.7307666424358974	-0.5841110337397436	-0.4204022559358974	-0.7457328641666666	-0.5793824741891026	-0.5263039942166666	-0.4311551635442308	-0.6768830516474359	-0.4670987635064103	-0.5225344728846154
LAYING	24	0.27691690662729657	-0.017682246010388453	-0.10791450368766405	-0.6754591762984252	-0.5824906551853019	-0.6364974589002624	0.6949812680839895	0.0729509702152231	0.23873766269868765	-0.9753296996587927	-0.9608981666404199	-0.9557245661942257	0.07847350034671915	0.003969003085740158	-0.007009605588057743	-0.7403005448818898	-0.6859797962619423	-0.7363742325748032	-0.021257809684776904	-0.07824402026771654	0.08417403759816273	-0.7761990499396325	-0.7633654572965879	-0.708251676335958	-0.09982942481422573	-0.03907494213832021	-0.055298768340157484	-0.7644900306099738	-0.7927187024409449	-0.7968165166141732	-0.7076137795800524	-0.6115090425868767	-0.6558589948223097	-0.664356691751496	-0.5946767900590552	-0.6553605214461943	-0.7522453724934384	-0.7036416145065617	-0.7196557473910761	-0.751378154304462	-0.6882804618608924	-0.7516286878215223	-0.7226073777480315	-0.7537104795800526	-0.7094885768766405	-0.7940635291338582	-0.7719698089763779	-0.7357499343044619
LAYING	27	0.2777989193288591	-0.01693865903343926	-0.11227336837013423	-0.5747833215503356	-0.541012892132886	-0.6081587653355705	0.5851395911073826	0.02347930613087248	0.12061310237516779	-0.9716798452348994	-0.9698911469798658	-0.9565688245973154	0.07685918633825503	0.005183985158855704	-0.005547958966778524	-0.624308492209396	-0.593582093143792	-0.7295573096308725	-0.06833321715466444	-0.049644131353825505	0.11626225226375839	-0.7456690271442953	-0.7544396103691275	-0.5946316790973154	-0.08738623224428524	-0.046475105984865775	-0.060079321399999996	-0.7761554967114094	-0.7964681561744966	-0.727982409261745	-0.6006415321194631	-0.5538743594681208	-0.6465482476442953	-0.5667812953389262	-0.5651766442483221	-0.6201417908120805	-0.6419917809916107	-0.6184367108587249	-0.7110043432785235	-0.6396238336409396	-0.594512488954698	-0.7467367467449665	-0.7115466732751677	-0.7455574134124161	-0.6304945292315436	-0.758703337557047	-0.7632348093624161	-0.6232617414731544
LAYING	28	0.2775325547643979	-0.0191721442063089	-0.10971087310418848	-0.6490403913078534	-0.5736518959335078	-0.685821415026178	0.62376789513089	-0.14757775521465968	-0.04699310210497382	-0.9738733280628272	-0.9603656262565445	-0.9462256372513089	0.0807263062382199	0.01382244365460733	8.242083248010462e-4	-0.6808137253921466	-0.6516198489450262	-0.8008705818848167	-0.06449635455646596	-0.047147402310102095	0.10084028132958116	-0.7402765918732984	-0.7412855401963351	-0.6697896628897906	-0.08812135511727749	-0.04479725958620419	-0.06076807074081152	-0.7205156762931937	-0.8250387832460733	-0.7697559811256545	-0.6541565191937173	-0.5849325001138743	-0.7151344744319372	-0.6478071929842932	-0.5951104726159162	-0.6957672795287958	-0.686723799059424	-0.6707180959269633	-0.7790617203586387	-0.7040733824109948	-0.6548559152714659	-0.8217154944240838	-0.6743566560209424	-0.7470679079319372	-0.6735138868908377	-0.7620309780104713	-0.7408194534293193	-0.7002912828811518
LAYING	29	0.27911152194476746	-0.018471953048313953	-0.10867561226947675	-0.5742953953648255	-0.598400275636657	-0.6064612839264535	0.6830676256104651	0.11548975791162791	0.20821537004372093	-0.9732828858430232	-0.9646431610174419	-0.9416217902325581	0.07883823247133721	0.00900161248883721	-0.003552905424677326	-0.6234564142163663	-0.635499779848779	-0.7937467977906977	-0.01018319108693314	-0.08828832964418605	0.08816262665462209	-0.7346992736915697	-0.6345691734215116	-0.7138645839825581	-0.10070775180985465	-0.046432202952761625	-0.05278599903168605	-0.7361176641395348	-0.8536396131395348	-0.7702213143023255	-0.5799010001861338	-0.5876863081462209	-0.6805476754651163	-0.5727879490375	-0.6309788448518314	-0.6025509251837209	-0.6298758531520349	-0.6412890757863372	-0.7684339283139535	-0.6515641889648256	-0.6555261166555233	-0.8182927808139535	-0.6857474134866279	-0.7359723016569767	-0.6892213577180233	-0.7525678317078488	-0.5888579874851744	-0.7491631722965116
LAYING	30	0.2763058367219321	-0.01758560773402089	-0.10589355727859008	-0.615890785389034	-0.5190473878754569	-0.5226432737721148	0.6968582006788512	0.051269818897498695	0.18434317834803657	-0.9743191185639687	-0.9522882927676241	-0.9294326346475196	0.07347992701488251	0.007304382579712793	-6.538718903733688e-4	-0.6790072541501305	-0.6607705539046997	-0.7816444850130548	-0.035422928032663184	-0.07174824524020888	0.08345445866939948	-0.6710058461227154	-0.5389906639422977	-0.5897834421853786	-0.09267690052741515	-0.04129037796694517	-0.04935561778751958	-0.7806364295561358	-0.7989480730548303	-0.7632285469190601	-0.6356501253221932	-0.5584900100190601	-0.6349585469007832	-0.6092389115084073	-0.5313214918409922	-0.5065703612739948	-0.6853077711574412	-0.671673670524282	-0.7554322127937337	-0.7018792085718015	-0.672622022924282	-0.8071849409399477	-0.6674182366926893	-0.6299106659598173	-0.6156993478302872	-0.6768019956806005	-0.49631042144960835	-0.6202533904151436
SITTING	12	0.275639357761194	-0.01848613884597015	-0.10791726244776119	-0.5086651967671642	-0.4013576134641791	-0.7224436390298508	0.6299647789552238	0.11265259655895522	0.06119677346641791	-0.9730396568656716	-0.9616845701492537	-0.956887170522388	0.057236645520895524	0.010632586489402985	0.015533848144537314	-0.48751385358955224	-0.44179849937022386	-0.8130447007462687	-0.07027843629850747	-0.04224184248955224	0.08931157004940299	-0.6773075619977612	-0.6803988041044776	-0.6992457413955224	-0.07269242620597015	-0.04573747951791045	-0.051511092270373135	-0.6231895902910448	-0.7863127817164179	-0.7131141783059701	-0.49811915784104477	-0.39269413102462686	-0.75610207	-0.514152324191791	-0.4449100016597015	-0.7284696064925373	-0.5146420258059702	-0.47174480438955224	-0.7992841406716418	-0.5057450223888059	-0.4473392845272388	-0.8256205839552239	-0.5856695055067164	-0.7081845162686567	-0.6448804811119403	-0.7078310663955224	-0.6696223230597015	-0.7484317526865671
SITTING	13	0.27589587619877676	-0.0176504796070948	-0.10913528555076453	-0.6248444601990826	-0.4488160978533639	-0.587230562129052	0.7099965169082569	-0.04208581011620795	0.23605771826125382	-0.9672680634556575	-0.9535407168501528	-0.9387278802752294	0.07943930345503059	0.003879619533281346	-0.01234859236416208	-0.6388895325990825	-0.5697005474880122	-0.7284529663119266	-0.056247061898006115	-0.06166137874948012	0.09886605968642202	-0.7151098596727828	-0.645728612088685	-0.6433372850336392	-0.08811823794342508	-0.0440836605146789	-0.05827187487125382	-0.7157729801896024	-0.7189885918318043	-0.7127164284984709	-0.638817912651682	-0.4934671931371254	-0.6297362587318043	-0.6206020364525994	-0.46258445862782877	-0.5990368952714067	-0.6600821740715597	-0.6033404899376147	-0.7108317303614679	-0.649606227431844	-0.5621298669376452	-0.7448235395718654	-0.6586424214058104	-0.6471528178993884	-0.620471226529052	-0.7346579890519878	-0.6506235588474006	-0.685774481529052
SITTING	17	0.27344147274375	-0.01808885597728125	-0.10911191945896875	-0.5508679322638438	-0.507275258134	-0.613217322774375	0.668613344125	0.01046225616875	0.0223722077328125	-0.9695361643125	-0.9570481696875	-0.94542101409375	0.08251105141625	0.00885228208375	0.0038265328758750007	-0.635949363671875	-0.6209185283574999	-0.78668123990625	-0.01284166884445	-0.08338809915680626	0.07451578180365626	-0.7250048879375	-0.73173270325	-0.6810022211071874	-0.1090840581571875	-0.03902962112709375	-0.05040912156490625	-0.75779255871875	-0.80093311453125	-0.7804575046875	-0.6007239046197812	-0.5459473900430313	-0.67938986181875	-0.533671600249375	-0.519062339910625	-0.6090079445296875	-0.6751347423640625	-0.65093749483125	-0.7744940495625	-0.6288998856821875	-0.614345425693125	-0.79753323615625	-0.6902468424515625	-0.7428462089375	-0.68792205428125	-0.737661758785625	-0.72779753184375	-0.708869113253125
SITTING	18	0.27795824	-0.01729741093	-0.110021546	-0.9917052063333334	-0.939095257	-0.9507530176666666	0.9625811616666666	-0.18001883566666665	0.0783976787	-0.9956797983333333	-0.97557713	-0.9737592973333333	0.0756560724	0.01212352927	4.263435273333335e-4	-0.9898081253333333	-0.968781037	-0.9890641516666666	-0.025923628293333334	-0.07444582796666667	0.0854533145	-0.9504615056666667	-0.9776609803333334	-0.9623303116666667	-0.0981970214	-0.03979304953333333	-0.053319608	-0.9761981656666666	-0.9918060910000001	-0.9827657026666666	-0.990052909	-0.9498110153333333	-0.9727380816666666	-0.9924698083333333	-0.937087901	-0.9435083023333334	-0.9896497280000001	-0.969070922	-0.9867784066666667	-0.9909529016666667	-0.9707642763333333	-0.990011026	-0.9536685056666667	-0.9827656143333333	-0.9664664556666667	-0.9503920716666666	-0.9750298336666666	-0.9644316523333334
